,symbol,mean_abnormal_return,std_dev,t_statistic,p_value,significant,sample_size,effect_size,effect_interpretation
27,AAVEUSDT,1.3612106185814836,2.171911063119396,8.79663159265419,7.091190606349751e-16,True,198,0.6267340508070584,中等效應
44,TSTUSDT,1.3598244777005082,2.7343283375366023,5.447820808200792,2.7586198259904015e-07,True,121,0.49731572431626647,小效應
95,RSRUSDT,1.3585184470587457,2.2865194021858675,8.33918795006451,1.2791868962933011e-14,True,198,0.5941425407368198,中等效應
31,BONKUSDT,1.3578861295074731,2.384600338000766,7.992467225145035,1.0934209475441326e-13,True,198,0.5694397119166378,中等效應
41,LDOUSDT,1.3571120379080859,2.3916483808346682,7.964371061329075,1.298604721623364e-13,True,198,0.5674379431287736,中等效應
45,OPUSDT,1.3560997604842118,2.4275391263657746,7.800863999687287,3.636123448749805e-13,True,196,0.5586314740534808,中等效應
57,RAYUSDT,1.3428542840655087,2.5183727371745666,7.4841415504262665,2.342492811893736e-12,True,198,0.5332230071598117,中等效應
60,ZROUSDT,1.3386395331819145,2.2026515453460576,8.530037914426307,3.857996116887662e-15,True,198,0.6077400376878956,中等效應
89,DYDXUSDT,1.3378385883057446,2.5118563196873995,7.475530845395371,2.4651080016665353e-12,True,198,0.5326095198280444,中等效應
32,TAOUSDT,1.33751819420803,2.5771601355176696,7.284360095767703,7.590507849109077e-12,True,198,0.5189891678730958,中等效應
83,THEUSDT,1.334471230725908,2.2078565151933804,8.483430038252198,5.175730665300756e-15,True,198,0.6044193640042885,中等效應
17,LTCUSDT,1.3310796210799154,2.1517675669526715,8.682439989440427,1.4689020992686461e-15,True,198,0.6185982359446878,中等效應
40,ARBUSDT,1.3296548711864657,2.285829471989258,8.164474070480168,3.791456824248927e-14,True,198,0.5816946922244925,中等效應
93,NOTUSDT,1.3225054208884357,2.527504414834784,7.344101172611948,5.350091859516249e-12,True,198,0.5232455433613493,中等效應
62,RENDERUSDT,1.3212505555724925,2.433821949075325,7.619552970911732,1.0458875558493266e-12,True,198,0.5428706714040735,中等效應
20,HBARUSDT,1.3089695559793653,2.3022958865095977,7.9799748272988165,1.1803540476556302e-13,True,198,0.5685496654228195,中等效應
50,FILUSDT,1.3061464538492757,2.188062291836312,8.378481344483918,1.0004243607887588e-14,True,198,0.596942079173214,中等效應
11,SUIUSDT,1.3058882217239927,2.6123628836791597,7.016259014639281,3.577558831406159e-11,True,198,0.4998877567441265,小效應
46,FETUSDT,1.3010987809256818,2.112714250864111,8.511109771030894,5.002709369633428e-15,True,192,0.6158422893174151,中等效應
54,FLOKIUSDT,1.2976572085428457,2.381133918840811,7.649081268683428,8.763770685279791e-13,True,198,0.5449744755114715,中等效應
37,DOTUSDT,1.2934112542002394,2.031226751326563,8.937402993477246,2.874089333295445e-16,True,198,0.6367635978383666,中等效應
78,BEAMXUSDT,1.289680666587487,2.2117600047782786,8.184220130706306,3.355108950492699e-14,True,198,0.5831015407644886,中等效應
88,SHELLUSDT,1.2820665830296722,2.596286420123881,4.498803505729927,2.2038325464160527e-05,True,84,0.4938078376454701,小效應
67,VETUSDT,1.2784707699123044,2.255658789089836,7.955189164531888,1.3735932550865077e-13,True,198,0.5667837600686806,中等效應
85,SANDUSDT,1.2725978700752494,2.1296962799404944,8.386999803117245,9.484450227557248e-15,True,198,0.5975489942212825,中等效應
4,SOLUSDT,1.2596515958981689,1.7942242782593234,9.853869930103096,7.060232526082337e-19,True,198,0.702059163484415,中等效應
