Timeframe,Window Size,Sample Size,Min,Max,Mean,Median,Std Dev,1% Percentile,5% Percentile,10% Percentile,25% Percentile,50% Percentile,75% Percentile,90% Percentile,95% Percentile,99% Percentile
1m,3,197,-0.5389731311519097,0.6980997649961296,-0.019319132564170796,-0.02208585085741177,0.22083045965430356,-0.467835661032173,-0.3650582545557879,-0.29319178139608715,-0.1481214064631864,-0.02208585085741177,0.10406993499632033,0.2466066781532872,0.3563560910958861,0.5737033264996269
1m,5,195,-0.6922201618341228,0.8428641407364879,-0.03352617945150103,-0.04416194817279395,0.27845497764726357,-0.5572824636556042,-0.47497856618505363,-0.37773180468612555,-0.19150776777190903,-0.04416194817279395,0.09958833353717056,0.3814104780848735,0.5245262973870688,0.6687291725843005
1m,10,190,-1.045138870662099,0.9541422100720842,-0.06520873825868967,-0.1283392362009972,0.3995824726684436,-0.7800472458668306,-0.6353134327203447,-0.5529774866553672,-0.34011566578575625,-0.1283392362009972,0.20168669473928924,0.5105400514253344,0.6176295624069105,0.8827276019693303
1m,20,180,-1.206341851268744,1.34823278700813,-0.12258756762634913,-0.17021782884080738,0.5383769933221799,-1.1631911091352498,-0.997343288110577,-0.8065735206241341,-0.4738556451872433,-0.17021782884080738,0.2227016517397873,0.5435428492745031,0.7526837250852763,1.305586531939746
4h,1,199,-7.788027100199879,11.48441916178411,-0.1469247368611981,-0.051407616704823855,1.9839810892924024,-6.955409476527762,-3.0584037175740275,-2.312917697794279,-0.9748027304787521,-0.051407616704823855,0.8131511851691808,1.8493918282011947,2.3179813621457743,4.576776579387364
4h,3,197,-12.346212972408832,12.484415149145335,-0.43641981307905453,-0.06747990515533209,3.58142553252509,-10.405677322658585,-7.5474881169733825,-4.562732028304102,-1.9594008738673008,-0.06747990515533209,1.517883755588656,3.172045561713795,4.26350979307294,9.571734735856793
4h,5,195,-16.24276951436562,13.414436334144364,-0.7482398949062435,-0.12225295779170198,4.434831865949617,-12.03801279517238,-8.791954434737093,-7.442151434910378,-2.9033321667916443,-0.12225295779170198,1.9596216716822101,3.865883070783518,5.107291439072704,10.03873663404844
4h,10,190,-17.612588990592425,12.969055045665678,-1.6015131796848703,-0.9396998812245594,5.268857897548224,-14.97767841266791,-12.566444691907732,-8.302364442816268,-4.520219943611131,-0.9396998812245594,1.5259207714162226,3.7478028684521356,5.8839370627100305,10.367813293402845
4h,20,180,-18.703057711318426,9.728802977995832,-3.3753339894337286,-1.124253969092015,6.256834082604185,-17.15286140420641,-14.940614465761204,-12.580391767795083,-8.301357114228434,-1.124253969092015,1.1437393260999074,2.8596184252656642,4.610471196259246,8.4368340681217
5m,1,199,-0.5724848164774143,0.5611457168716472,-0.007770945377454173,-0.008449915764907612,0.20886040489637964,-0.4937042627519388,-0.35363354336860664,-0.26648490468847763,-0.13699814963868961,-0.008449915764907612,0.13624288645801563,0.26852939359271155,0.34212119199333646,0.43756336341284274
5m,3,197,-0.9783375633181435,1.1051227321237977,-0.02336451781392428,-0.026713540024891902,0.35241101920181933,-0.8099147486969076,-0.6340315202215274,-0.4647191304801179,-0.23887585341179074,-0.026713540024891902,0.18465510764493764,0.40759401492139974,0.5778400334619738,0.7548207228781052
5m,5,195,-1.3832576850574596,1.1661247176792955,-0.04086488608692862,-0.016060043147980707,0.42821187960848195,-1.054283942496147,-0.7040559302212135,-0.5973718171009135,-0.3308007723548001,-0.016060043147980707,0.23516999829088503,0.47680291852473,0.598935615585809,0.9520897838116958
5m,10,190,-1.778174561495649,1.4601800870833515,-0.08159603939861523,-0.08229344652587178,0.5207158792475644,-1.4610648574408212,-0.9036727304929421,-0.6892824316622403,-0.428735988658438,-0.08229344652587178,0.278045331500959,0.5623502755960572,0.7341217155833841,1.106726856390874
5m,20,180,-1.5606368617068767,1.757308684436798,-0.14505740337370682,-0.13794091448411927,0.6852458051854026,-1.4932215796476938,-1.1736792770482618,-1.0392155054577357,-0.670673781581485,-0.13794091448411927,0.3659868069861627,0.745912162997524,0.9167422839665278,1.2542552934640454
